date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:23:40	266/266	---MC-	302	error ('Found')	text/html	date:Fri,%2010%20May%202019%2014:23:53%20GMT	http://teamthe4.com/robots.txt		(from )
16:23:42	66196/66196	---MCZ	200	added ('OK')	text/html	date:Fri,%2010%20May%202019%2014:23:54%20GMT	http://teamthe4.com/	D:/htdocs/html-teamthe4-web/teamthe4-web/teamthe4.com/index.html	(from )
16:23:42	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Fri,%2010%20May%202019%2014:23:55%20GMT	https://www.googletagmanager.com/gtm.js?id=	D:/htdocs/html-teamthe4-web/teamthe4-web/www.googletagmanager.com/gtm.05445.delayed	(from http://teamthe4.com/)
16:23:45	121205/121205	---MCZ	200	added ('OK')	text/css	date:Tue,%2024%20Jul%202018%2017:58:52%20GMT	http://teamthe4.com/assets/css/bootstrap.min.css	D:/htdocs/html-teamthe4-web/teamthe4-web/teamthe4.com/assets/css/bootstrap.min.css	(from http://teamthe4.com/)
16:23:45	23742/23742	---MCZ	200	added ('OK')	text/css	date:Tue,%2024%20Jul%202018%2017:58:54%20GMT	http://teamthe4.com/assets/font-awesome/css/font-awesome.min.css	D:/htdocs/html-teamthe4-web/teamthe4-web/teamthe4.com/assets/font-awesome/css/font-awesome.min.css	(from http://teamthe4.com/)
16:23:46	44604/44604	---MCZ	200	added ('OK')	image/x-icon	date:Tue,%2016%20Apr%202019%2002:50:14%20GMT	http://teamthe4.com/assets/img/tt4-favicon-icon.ico	D:/htdocs/html-teamthe4-web/teamthe4-web/teamthe4.com/assets/img/tt4-favicon-icon.ico	(from http://teamthe4.com/)
16:23:46	654/654	---MCZ	200	added ('OK')	text/css	date:Fri,%2003%20May%202019%2014:16:24%20GMT	http://teamthe4.com/assets/font-awesome/css/brands.min.css	D:/htdocs/html-teamthe4-web/teamthe4-web/teamthe4.com/assets/font-awesome/css/brands.min.css	(from http://teamthe4.com/)
16:23:47	348/348	---MCZ	200	added ('OK')	text/css	date:Mon,%2008%20Apr%202019%2019:31:40%20GMT	http://teamthe4.com/assets/fonts/GE_Dinar_Two_Medium/stylesheet.css	D:/htdocs/html-teamthe4-web/teamthe4-web/teamthe4.com/assets/fonts/GE_Dinar_Two_Medium/stylesheet.css	(from http://teamthe4.com/)
16:23:48	2960/2960	---MCZ	200	added ('OK')	text/css	date:Tue,%2024%20Jul%202018%2017:58:50%20GMT	http://teamthe4.com/assets/css/owl.carousel.min.css	D:/htdocs/html-teamthe4-web/teamthe4-web/teamthe4.com/assets/css/owl.carousel.min.css	(from http://teamthe4.com/)
16:23:48	1353/1353	---MCZ	200	added ('OK')	text/css	date:Tue,%2024%20Jul%202018%2017:58:50%20GMT	http://teamthe4.com/assets/css/owl.theme.default.css	D:/htdocs/html-teamthe4-web/teamthe4-web/teamthe4.com/assets/css/owl.theme.default.css	(from http://teamthe4.com/)
16:23:49	25427/25427	---MCZ	200	added ('OK')	text/css	date:Tue,%2024%20Jul%202018%2017:58:54%20GMT	http://teamthe4.com/assets/css/animate.css	D:/htdocs/html-teamthe4-web/teamthe4-web/teamthe4.com/assets/css/animate.css	(from http://teamthe4.com/)
16:23:50	2199/2199	---MCZ	200	added ('OK')	text/css	etag:W/%225afd49fe-897%22	https://cdnjs.cloudflare.com/ajax/libs/normalize/5.0.0/normalize.min.css	D:/htdocs/html-teamthe4-web/teamthe4-web/cdnjs.cloudflare.com/ajax/libs/normalize/5.0.0/normalize.min.css	(from http://teamthe4.com/)
16:23:50	16977/16977	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2024%20Jul%202018%2017:58:36%20GMT	http://teamthe4.com/admin/assets/js/sweetalert.min.js	D:/htdocs/html-teamthe4-web/teamthe4-web/teamthe4.com/admin/assets/js/sweetalert.min.js	(from http://teamthe4.com/)
16:23:50	23811/23811	---MCZ	200	added ('OK')	text/css	date:Tue,%2024%20Jul%202018%2017:58:16%20GMT	http://teamthe4.com/admin/assets/css/sweetalert.css	D:/htdocs/html-teamthe4-web/teamthe4-web/teamthe4.com/admin/assets/css/sweetalert.css	(from http://teamthe4.com/)
16:23:52	273/273	---MC-	302	error ('Found')	text/html	date:Fri,%2010%20May%202019%2014:24:04%20GMT	http://teamthe4.com/libs/jquery/dist/jquery.min.js	D:/htdocs/html-teamthe4-web/teamthe4-web/teamthe4.com/libs/jquery/dist/jquery.min.js	(from http://teamthe4.com/)
16:23:54	38977/38977	---MCZ	200	added ('OK')	text/html	date:Fri,%2010%20May%202019%2014:24:05%20GMT	http://teamthe4.com/404.php	D:/htdocs/html-teamthe4-web/teamthe4-web/teamthe4.com/404.html	(from http://teamthe4.com/)
16:23:54	12135/12135	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2024%20Jul%202018%2017:58:38%20GMT	http://teamthe4.com/admin/assets/js/jquery.vide.js	D:/htdocs/html-teamthe4-web/teamthe4-web/teamthe4.com/admin/assets/js/jquery.vide.js	(from http://teamthe4.com/)
16:23:54	5723/5723	---MCZ	200	added ('OK')	text/css	date:Tue,%2024%20Jul%202018%2017:58:50%20GMT	http://teamthe4.com/assets/css/jquery.fancybox.css	D:/htdocs/html-teamthe4-web/teamthe4-web/teamthe4.com/assets/css/jquery.fancybox.css	(from http://teamthe4.com/)
16:23:55	5233/5233	---MCZ	200	added ('OK')	text/css	date:Tue,%2024%20Jul%202018%2017:58:18%20GMT	http://teamthe4.com/admin/assets/css/dataTables.bootstrap.css	D:/htdocs/html-teamthe4-web/teamthe4-web/teamthe4.com/admin/assets/css/dataTables.bootstrap.css	(from http://teamthe4.com/)
16:23:57	33688/33688	---MCZ	200	added ('OK')	text/css	date:Tue,%2003%20Jul%202018%2009:42:10%20GMT	http://teamthe4.com/assets/flag-icon-css/css/flag-icon.min.css	D:/htdocs/html-teamthe4-web/teamthe4-web/teamthe4.com/assets/flag-icon-css/css/flag-icon.min.css	(from http://teamthe4.com/)
16:23:57	101700/101700	---MCZ	200	added ('OK')	text/css	date:Mon,%2031%20Dec%202018%2023:06:58%20GMT	http://teamthe4.com/assets/css/styles.css	D:/htdocs/html-teamthe4-web/teamthe4-web/teamthe4.com/assets/css/styles.css	(from http://teamthe4.com/)
16:23:59	83095/83095	---MC-	200	added ('OK')	text/javascript	date:Tue,%2020%20Dec%202016%2018:17:03%20GMT	http://ajax.googleapis.com/ajax/libs/jquery/2.0.0/jquery.min.js	D:/htdocs/html-teamthe4-web/teamthe4-web/ajax.googleapis.com/ajax/libs/jquery/2.0.0/jquery.min.js	(from http://teamthe4.com/)
16:23:59	3906/3906	---MCZ	200	added ('OK')	text/html	date:Fri,%2010%20May%202019%2014:24:12%20GMT	http://teamthe4.com/cdn-cgi/l/email-protection	D:/htdocs/html-teamthe4-web/teamthe4-web/teamthe4.com/cdn-cgi/l/email-protection.html	(from http://teamthe4.com/)
16:24:04	95992/95992	---MC-	200	added ('OK')	text/javascript	date:Tue,%2020%20Dec%202016%2018:17:03%20GMT	http://ajax.googleapis.com/ajax/libs/jquery/1.11.3/jquery.min.js	D:/htdocs/html-teamthe4-web/teamthe4-web/ajax.googleapis.com/ajax/libs/jquery/1.11.3/jquery.min.js	(from http://teamthe4.com/)
16:24:05	0/0	---MC-	302	error ('Moved%20Temporarily')	text/html	date:Fri,%2010%20May%202019%2014:24:18%20GMT	http://teamthe4.com/changelanguage.php?language=English	D:/htdocs/html-teamthe4-web/teamthe4-web/teamthe4.com/changelanguage.19fa27.delayed	(from http://teamthe4.com/)
16:24:06	0/0	---MC-	302	error ('Moved%20Temporarily')	text/html	date:Fri,%2010%20May%202019%2014:24:18%20GMT	http://teamthe4.com/changelanguage.php?language=French	D:/htdocs/html-teamthe4-web/teamthe4-web/teamthe4.com/changelanguagea998.php	(from http://teamthe4.com/)
16:24:07	46589/46589	---MCZ	200	added ('OK')	text/html	date:Fri,%2010%20May%202019%2014:24:19%20GMT	http://teamthe4.com/about	D:/htdocs/html-teamthe4-web/teamthe4-web/teamthe4.com/about.html	(from http://teamthe4.com/)
